Section,Investigation,Investigation_Loinc,Parameter,parameter_Loinc
CHEMISTRY,ALKALINE PHOSPHATASE,6768-6,ALKALINE PHOSPHATASE,6768-6
CHEMISTRY,ALT (GPT),1743-4,ALT (GPT),1743-4
CHEMISTRY,AMYLASE,25312-0,AMYLASE,25312-0
HORMONES,ANTI-THYROGLOBULIN ABS,56536-6,ANTI THYROGLOBULIN ABS,56536-6
HORMONES,ANTI-THYROID PEROXIDASE ABS,,ANTI THYROID PEROXIDASE ABS,0
BLOOD BANK (DONATION TESTS),ANTI HBC,,ANTI HBC,
BLOOD BANK (DONATION TESTS),ANTI HBS FOR ANTI HBC POSITIVE SAMPLE,,ANTI HBS FOR ANTI HBC,
BLOOD BANK (DONATION TESTS),ANTI HCV,13955-0,ANTI HCV SCREENING,13955-0
BLOOD BANK (DONATION TESTS),ANTI HTLV I&II,,ANTI HTLV I&II,
BLOOD BANK,ANTIBODY IDENTIFICATION,888-8,ANTIBODY IDENTIFICATION,
BLOOD BANK (DONATION TESTS),ANTIBODY SCREENING,,ANTIBODY SCREENING,
CHEMISTRY,AST (GOT),30239-8,AST (GOT),30239-8
HORMONES,B-HCG (QUANTITATIVE),83086-9,B-HCG VIDAS,83086-9
HORMONES,B-HCG (QUANTITATIVE),83086-9,BHCG COBAS,
HORMONES,B-HCG (QUANTITATIVE),83086-9,B-HCG ARCHITECT,83086-9
HORMONES,B-HCG (QUANTITATIVE),83086-9,B-HCG STAT ARCHITECT,
CHEMISTRY,BILIRUBIN (CONJUGATED),1968-7,BILIRUBIN (CONJUGATED),1968-7
BLOOD BANK (DONATION TESTS),BLOOD GROUP,34532-2,ABO,883-9
BLOOD BANK (DONATION TESTS),BLOOD GROUP,34532-2,RH,10331-7
BLOOD BANK (DONATION TESTS),BLOOD GROUP,34532-2,Phenotyp,
BLOOD BANK (DONATION TESTS),BLOOD GROUP,34532-2,Kell,
POCT,BNP (POCT),,BNP (POCT),
CHEMISTRY,BONE PANEL,,CORRECTED Ca,
CHEMISTRY,BONE PANEL,,CALCIUM,17861-6
CHEMISTRY,BONE PANEL,,PHOSPHORUS,2777-1
CHEMISTRY,BONE PANEL,,ALKALINE PHOSPHATASE,17838-4
CHEMISTRY,BONE PANEL,,TOTAL PROTEIN,2885-2
CHEMISTRY,BONE PANEL,,ALBUMIN,1751-7
MOHLabTest,C-REACTIVE PROTEIN,,C-REACTIVE PROTEIN,
CHEMISTRY,CALCIUM,17861-6,CORRECTED CA,46099-8
CHEMISTRY,CALCIUM,17861-6,CALCIUM,17861-6
CULTURE D,Candida Auris screening,,Candida Auris screening,
HEMATOLOGY,CBC DIFF,57021-8,WBC,6690-2
HEMATOLOGY,CBC DIFF,57021-8,RBC,789-8
HEMATOLOGY,CBC DIFF,57021-8,HGB,718-7
HEMATOLOGY,CBC DIFF,57021-8,HCT,4544-3
HEMATOLOGY,CBC DIFF,57021-8,MCV,787-2
HEMATOLOGY,CBC DIFF,57021-8,MCH,785-6
HEMATOLOGY,CBC DIFF,57021-8,MCHC,786-4
HEMATOLOGY,CBC DIFF,57021-8,PLATELET COUNT,777-3
HEMATOLOGY,CBC DIFF,57021-8,NEUT%,770-8
HEMATOLOGY,CBC DIFF,57021-8,LYMP%,736-9
HEMATOLOGY,CBC DIFF,57021-8,MONO%,5905-5
HEMATOLOGY,CBC DIFF,57021-8,EOS%,713-8
HEMATOLOGY,CBC DIFF,57021-8,BASO%,706-2
HEMATOLOGY,CBC DIFF,57021-8,NEUT Count,751-8
HEMATOLOGY,CBC DIFF,57021-8,LYMP Count,731-0
HEMATOLOGY,CBC DIFF,57021-8,MONO Count,742-7
HEMATOLOGY,CBC DIFF,57021-8,EOS Count,711-2
HEMATOLOGY,CBC DIFF,57021-8,BASO Count,704-7
HEMATOLOGY,CBC DIFF,57021-8,NEUT%,0
HEMATOLOGY,CBC DIFF,57021-8,LYMP%,0
HEMATOLOGY,CBC DIFF,57021-8,EOS%,0
HEMATOLOGY,CBC DIFF,57021-8,BASO%,0
POCT,CHEM8+ I-stat Machine Panel (POCT),,K-POCT,
POCT,CHEM8+ I-stat Machine Panel (POCT),,CL-POCT,
POCT,CHEM8+ I-stat Machine Panel (POCT),,BUN-POCT,
POCT,CHEM8+ I-stat Machine Panel (POCT),,CREA-POCT,
POCT,CHEM8+ I-stat Machine Panel (POCT),,GLU-POCT,
POCT,CHEM8+ I-stat Machine Panel (POCT),,ICALCIUM-POCT,
POCT,CHEM8+ I-stat Machine Panel (POCT),,ANGAP-POCT,
POCT,CHEM8+ I-stat Machine Panel (POCT),,HCT-POCT,
POCT,CHEM8+ I-stat Machine Panel (POCT),,HGB-POCT,
POCT,CHEM8+ I-stat Machine Panel (POCT),,TCO2-POCT,
POCT,CHEM8+ I-stat Machine Panel (POCT),,Na-POCT,
CHEMISTRY,CK-MB,32673-6,CK-MB vidas,32673-6
CHEMISTRY,CK-MB,32673-6,CK-MB Architect,
CHEMISTRY,CK-MB,32673-6,CK-MB AQT,32673-6
CHEMISTRY,CK-MB,32673-6,CK-MB Cobas,32673-6
POCT,CKMB (POCT),,CKMB-POCT,
HORMONES,CORTISOL URINE 24 HOUR,,Cortisol in urine (Free),
MOHLabTest,CREATININE RANDOM URINE,2161-8,CREATININE RANDOM URINE,
SEROLOGY,CRP ( LATEX ),1988-5,CRP ( IMMAGE 800 ),
SEROLOGY,CRP ( LATEX ),1988-5,CRP (ARCHITECT),0
SEROLOGY,CRP ( LATEX ),1988-5,CRP ( LATEX ),1988-5
SEROLOGY,CSF Cryptococcal Ag,,CSF Cryptococcal Ag,
MOLECULAR DIAGNOSTICS-INFECTIOUS DISEASES,CSF HSV 1&2 PCR (qualitative),,CSF HSV 1&2 PCR (qualitative),
